geneid	chr	s1	s2
ABHD6|57406	chr3	58223259	58280459
ABHD8|79575	chr19	17402941	17414282
ABI1|10006	chr10	27035527	27149959
ABI2|10152	chr2	204193003	204296891
ABI3BP|25890	chr3	100468181	100712334
ABI3|51225	chr17	47287589	47300587
ABL1|25	chr9	133589268	133763060
ABL2|27	chr1	179068463	179198819
ABLIM1|3983	chr10	116190870	116528019
ABLIM2|84448	chr4	7967038	8160559
ABLIM3|22885	chr5	148521054	148639999
ABO|28	chr9	136130563	136150630
ABP1|26	chr7	150526069	150558379
ABRA|137735	chr8	107771712	107782472
ABR|29	chr17	906760	1090616
ABT1|29777	chr6	26597180	26600275
ABTB1|80325	chr3	127391781	127399762
ABTB2|25841	chr11	34172535	34378802
ACAA1|30	chr3	38164202	38178733
ACAA2|10449	chr18	47309875	47340283
ACACA|31	chr17	35441928	35766902
ACACB|32	chr12	109554400	109706028
ACAD10|80724	chr12	112123857	112194910
ACAD11|84129	chr3	132276984	132378975
ACAD8|27034	chr11	134123434	134135744
ACAD9|28976	chr3	128598333	128634910
ACADL|33	chr2	211052718	211090215
ACADM|34	chr1	76190043	76229353
ACADSB|36	chr10	124768429	124817805
ACADS|35	chr12	121163571	121177810
ACADVL|37	chr17	7120444	7128584
ACAN|176	chr15	89346674	89418585
ACAP1|9744	chr17	7239848	7254793
ACAP2|23527	chr3	194995475	195163817
ACAP3|116983	chr1	1227764	1244989
ACAT1|38	chr11	107992258	108018889
ACAT2|39	chr6	160182989	160200085
ACBD3|64746	chr1	226332382	226374423
ACBD4|79777	chr17	43209967	43221541
ACBD5|91452	chr10	27484144	27531068
ACBD6|84320	chr1	180257353	180472022
ACBD7|414149	chr10	15057071	15130775
ACCN1|40	chr17	31340108	32483825
ACCN2|41	chr12	50451487	50477393
ACCN3|9311	chr7	150745605	150749843
ACCN4|55515	chr2	220379052	220403488
ACCN5|51802	chr4	156750881	156787425
ACCSL|390110	chr11	44069531	44081527
ACCS|84680	chr11	44087475	44105569
ACD|65057	chr16	67691416	67694718
ACE2|59272	chr23	15579156	15620192
ACER1|125981	chr19	6306510	6333640
ACER2|340485	chr9	19397807	19452500
ACER3|55331	chr11	76571917	76734850
ACE|1636	chr17	61554434	61599203
ACHE|43	chr7	100487616	100494539
ACIN1|22985	chr14	23527776	23564823
ACLY|47	chr17	40023181	40075272
ACMSD|130013	chr2	135596186	135659600
ACN9|57001	chr7	96745905	96811073
ACO1|48	chr9	32384601	32450830
ACO2|50	chr22	41865129	41924992
ACOT11|26027	chr1	55007930	55100417
ACOT12|134526	chr5	80625948	80689988
ACOT13|55856	chr6	24667263	24705293
ACOT1|641371	chr14	74003928	74042357
ACOT2|10965	chr14	74034324	74042357
ACOT4|122970	chr14	74058410	74062468
ACOT6|641372	chr14	74083548	74086590
ACOT7|11332	chr1	6324333	6453826
ACOT8|10005	chr20	44470361	44486035
ACOT9|23597	chr23	23721778	23761407
ACOX1|51	chr17	73937589	73975444
ACOX2|8309	chr3	58490864	58522929
ACOX3|8310	chr4	8368010	8442452
ACOXL|55289	chr2	111490150	111875799
ACP1|52	chr2	264869	278280
ACP2|53	chr11	47260854	47270457
ACP5|54	chr19	11685477	11689801
ACP6|51205	chr1	147119168	147142634
ACPL2|92370	chr3	140950682	141013485
ACPP|55	chr3	132036211	132087144
ACPT|93650	chr19	51293672	51298481
ACRBP|84519	chr12	6747242	6756580
ACRC|93953	chr23	70797874	70833433
ACRV1|56	chr11	125542230	125550942
ACR|49	chr22	51176652	51183726
ACSBG1|23205	chr15	78463189	78526899
ACSBG2|81616	chr19	6135651	6193112
ACSF2|80221	chr17	48503519	48552200
ACSF3|197322	chr16	89160254	89222169
ACSL1|2180	chr4	185676749	185747215
ACSL3|2181	chr2	223725732	223809354
ACSL4|2182	chr23	108884564	108976621
ACSL5|51703	chr10	114133916	114188137
ACSL6|23305	chr5	131142840	131347870
ACSM1|116285	chr16	20634559	20709066
ACSM2A|123876	chr16	20462859	20498989
ACSM2B|348158	chr16	20548084	20587695
ACSM3|6296	chr16	20775312	20808478
ACSM4|341392	chr12	7456928	7480969
ACSM5|54988	chr16	20420856	20452278
ACSS1|84532	chr20	24986874	25039616
ACSS2|55902	chr20	33462766	33515769
ACSS3|79611	chr12	81471809	81649582
ACTA1|58	chr1	229566995	229569843
ACTA2|59	chr10	90694832	90751147
ACTBL2|345651	chr5	56775844	56778636
ACTB|60	chr7	5566783	5570232
ACTC1|70	chr15	35080297	35087927
ACTG1|71	chr17	79476999	79479827
ACTG2|72	chr2	74120093	74146779
ACTL6A|86	chr3	179280708	179306188
ACTL6B|51412	chr7	100240728	100254084
ACTL7A|10881	chr9	111624603	111626035
ACTL7B|10880	chr9	111616871	111618275
ACTL8|81569	chr1	18081808	18153556
ACTL9|284382	chr19	8807751	8809172
ACTN1|87	chr14	69340841	69446083
ACTN2|88	chr1	236849770	236927558
ACTN3|89	chr11	66313866	66330797
ACTN4|81	chr19	39138327	39221170
ACTR10|55860	chr14	58666833	58702351
ACTR1A|10121	chr10	104238987	104262512
ACTR1B|10120	chr2	98272402	98280561
ACTR2|10097	chr2	65454829	65498385
ACTR3B|57180	chr7	152456851	152552463
ACTR3C|653857	chr7	149944302	150000069
ACTR3|10096	chr2	114647537	114716167
ACTR5|79913	chr20	37377097	37401089
ACTR6|64431	chr12	100594574	100635625
ACTR8|93973	chr3	53901156	53916187
ACTRT1|139741	chr23	127184943	127186382
ACTRT2|140625	chr1	2938046	2939465
ACVR1B|91	chr12	52345486	52390859
ACVR1C|130399	chr2	158383280	158485399
ACVR1|90	chr2	158592958	158732374
ACVR2A|92	chr2	148602086	148688392
ACVR2B|93	chr3	38495790	38534631
ACVRL1|94	chr12	52301202	52317144
ACY1|95	chr3	52009042	52023217
ACY3|91703	chr11	67410027	67418130
ACYP1|97	chr14	75519930	75530736
ACYP2|98	chr2	54342410	54532433
ADAD1|132612	chr4	123300121	123350946
ADAD2|161931	chr16	84224723	84230772
ADAL|161823	chr15	43622872	43646094
ADAM10|102	chr15	58888510	59042177
ADAM11|4185	chr17	42836568	42859212
ADAM12|8038	chr10	127700956	128077127
ADAM15|8751	chr1	155023422	155035252
ADAM17|6868	chr2	9629413	9695917
ADAM18|8749	chr8	39442142	39587485
ADAM19|8728	chr5	156822542	157002768
ADAM20|8748	chr14	70989079	71001732
ADAM21P1|145241	chr14	70712471	70714518
ADAM21|8747	chr14	70924217	70926621
ADAM22|53616	chr7	87563702	87826447
ADAM23|8745	chr2	207308368	207482677
ADAM28|10863	chr8	24151580	24212725
ADAM29|11086	chr4	175839509	175899330
ADAM2|2515	chr8	39601256	39695779
ADAM30|11085	chr1	120436157	120439113
ADAM32|203102	chr8	38965050	39142435
ADAM33|80332	chr20	3648618	3662738
ADAM3A|1587	chr8	39308565	39380470
ADAM5P|255926	chr8	39172182	39274895
ADAM6|8755	chr14	105994256	107283087
ADAM7|8756	chr8	24298509	24384481
ADAM8|101	chr10	135075921	135090372
ADAM9|8754	chr8	38854505	38962777
ADAMDEC1|27299	chr8	24241798	24263526
ADAMTS10|81794	chr19	8645126	8675588
ADAMTS12|81792	chr5	33527287	33892124
ADAMTS13|11093	chr9	136279459	136324507
ADAMTS14|140766	chr10	72432559	72522193
ADAMTS15|170689	chr11	130318869	130343715
ADAMTS16|170690	chr5	5140443	5320411
ADAMTS17|170691	chr15	100511643	100882183
ADAMTS18|170692	chr16	77316026	77469011
ADAMTS19|171019	chr5	128796103	129074376
ADAMTS1|9510	chr21	28208608	28217728
ADAMTS20|80070	chr12	43748013	43945724
ADAMTS2|9509	chr5	178540851	178772329
ADAMTS3|9508	chr4	73146687	73434516
ADAMTS4|9507	chr1	161159539	161168845
ADAMTS5|11096	chr21	28290232	28339439
ADAMTS6|11174	chr5	64444564	64777704
ADAMTS7|11173	chr15	79051546	79103773
ADAMTS8|11095	chr11	130274820	130298539
ADAMTS9|56999	chr3	64501333	64673365
ADAMTSL1|92949	chr9	18474104	18910945
ADAMTSL2|9719	chr9	136397286	136440640
ADAMTSL3|57188	chr15	84322838	84708591
ADAMTSL4|54507	chr1	150521898	150533410
ADAMTSL5|339366	chr19	1505017	1513188
ADAP1|11033	chr7	937538	1015235
ADAP2|55803	chr17	29248754	29286209
ADARB1|104	chr21	46494493	46646478
ADARB2|105	chr10	1228074	1779718
ADAR|103	chr1	154554536	154600437
ADAT1|23536	chr16	75632998	75657154
ADAT2|134637	chr6	143743970	143771841
ADAT3|113179	chr19	1905417	1913443
ADA|100	chr20	43248164	43280376
ADCK1|57143	chr14	78266426	78400296
ADCK2|90956	chr7	140372953	140395744
ADCK4|79934	chr19	41197434	41222790
ADCK5|203054	chr8	145597526	145618451
ADCY10|55811	chr1	167778838	167883453
ADCY1|107	chr7	45613739	45762712
ADCY2|108	chr5	7396343	7830194
ADCY3|109	chr2	25042041	25142055
ADCY4|196883	chr14	24787571	24804277
ADCY5|111	chr3	123003399	123167392
ADCY6|112	chr12	49159976	49182820
ADCY7|113	chr16	50300462	50352043
ADCY8|114	chr8	131792548	132052835
ADCY9|115	chr16	4012653	4166186
ADCYAP1R1|117	chr7	31092142	31146311
ADCYAP1|116	chr18	904944	912171
ADC|113451	chr1	33546714	33586131
ADD1|118	chr4	2845577	2931787
ADD2|119	chr2	70834750	70995329
ADD3|120	chr10	111756108	111895320
ADH1A|124	chr4	100197524	100242572
ADH1B|125	chr4	100227528	100242572
ADH1C|126	chr4	100257651	100273917
ADH4|127	chr4	100044835	100065449
ADH5|128	chr4	99992132	100009931
ADH6|130	chr4	100123795	100140403
ADH7|131	chr4	100333418	100356525
ADHFE1|137872	chr8	67344718	67381042
ADI1|55256	chr2	3501691	3523350
ADIG|149685	chr20	37209838	37217104
ADIPOQ|9370	chr3	186560463	186576250
ADIPOR1|51094	chr1	202909963	202927700
ADIPOR2|79602	chr12	1800247	1897844
ADK|132	chr10	75910965	76469059
ADM2|79924	chr22	50920012	50924864
ADM|133	chr11	10326631	10328923
ADNP2|22850	chr18	77866915	77898226
ADNP|23394	chr20	49506883	49547527
ADORA1|134	chr1	203096836	203136533
ADORA2A|135	chr22	24813709	24838324
ADORA2B|136	chr17	15848231	15879210
ADORA3|140	chr1	112025971	112106597
ADO|84890	chr10	64564516	64568238
ADPGK|83440	chr15	73043710	73076667
ADPRHL1|113622	chr13	114076260	114107839
ADPRHL2|54936	chr1	36554453	36559532
ADPRH|141	chr3	119298523	119308791
ADRA1A|148	chr8	26605667	26722922
ADRA1B|147	chr5	159343740	159400017
ADRA1D|146	chr20	4201278	4229659
ADRA2A|150	chr10	112836790	112840660
ADRA2B|151	chr2	96778626	96781888
ADRA2C|152	chr4	3768075	3770251
ADRB1|153	chr10	115803806	115806665
ADRB2|154	chr5	148206156	148208188
ADRB3|155	chr8	37820516	37824184
ADRBK1|156	chr11	67033905	67054029
ADRBK2|157	chr22	25960861	26125256
ADRM1|11047	chr20	60878027	60883916
ADSL|158	chr22	40742504	40762573
ADSSL1|122622	chr14	105190534	105213645
ADSS|159	chr1	244571797	244615413
AEBP1|165	chr7	44143960	44154158
AEBP2|121536	chr12	19592608	19675173
AEN|64782	chr15	89164527	89175512
AES|166	chr19	3052908	3062964
AFAP1L1|134265	chr5	148651401	148721365
AFAP1L2|84632	chr10	116054584	116164515
AFAP1|60312	chr4	7760440	7941653
AFARP1|246182	chr1	113465972	113467295
AFF1|4299	chr4	87856163	88062190
AFF2|2334	chr23	147582139	148082192
AFF3|3899	chr2	100163718	100759037
AFF4|27125	chr5	132211072	132299354
AFG3L1|172	chr16	90038988	90067195
AFG3L2|10939	chr18	12329108	12377194
AFMID|125061	chr17	76183398	76203782
AFM|173	chr4	74347462	74369717
AFP|174	chr4	74296855	74321492
AFTPH|54812	chr2	64751465	64820131
AG2|387763	chr11	43964106	43965432
AGAP11|119385	chr10	88730498	88784486
AGAP1|116987	chr2	236402736	237034114
AGAP2|116986	chr12	58117573	58135940
AGAP3|116988	chr7	150782954	150841523
AGAP4|119016	chr10	46321051	46349325
AGAP5|729092	chr10	75434034	75490272
AGAP6|414189	chr10	51748078	51770258
AGAP7|653268	chr10	51464164	51486327
AGAP8|728404	chr10	51224690	51371331
AGA|175	chr4	178351924	178363591
AGBL1|123624	chr15	86685242	87572283
AGBL2|79841	chr11	47681145	47736302
AGBL3|340351	chr7	134671259	134820526
AGBL4|84871	chr1	48998527	50489626
AGBL5|60509	chr2	27274491	27293489
AGER|177	chr6	32148746	32152023
AGFG1|3267	chr2	228336888	228425938
AGFG2|3268	chr7	100136834	100165842
AGGF1|55109	chr5	76326232	76361035
AGK|55750	chr7	141251078	141354209
AGL|178	chr1	100315640	100389579
AGMAT|79814	chr1	15899152	15911605
AGPAT1|10554	chr6	32135990	32145842
AGPAT2|10555	chr9	139567595	139581911
AGPAT3|56894	chr21	45285116	45407474
AGPAT4|56895	chr6	161551057	161695107
AGPAT5|55326	chr8	6565878	6619019
AGPAT6|137964	chr8	41435707	41482520
AGPAT9|84803	chr4	84457261	84527025
AGPHD1|123688	chr15	78799906	78829714
AGPS|8540	chr2	178257471	178408564
AGR2|10551	chr7	16832266	16844738
AGR3|155465	chr7	16899031	16921613
AGRN|375790	chr1	955503	991492
AGRP|181	chr16	67516474	67517716
AGTPBP1|23287	chr9	88161455	88356944
AGTR1|185	chr3	148415658	148460788
AGTR2|186	chr23	115301958	115306223
AGTRAP|57085	chr1	11796142	11810827
AGT|183	chr1	230838274	230850336
AGXT2L1|64850	chr4	109663204	109684235
AGXT2L2|85007	chr5	177635541	177659803
AGXT2|64902	chr5	34998206	35048076
AGXT|189	chr2	241808162	241818535
AHCTF1|25909	chr1	247002402	247094723
AHCYL1|10768	chr1	110527308	110566363
AHCYL2|23382	chr7	128864864	129070051
AHCY|191	chr20	32868073	32899608
AHDC1|27245	chr1	27860794	27930361
AHI1|54806	chr6	135605112	135818903
AHNAK2|113146	chr14	105403591	105444694
AHNAK|79026	chr11	62201016	62314332
AHRR|57491	chr5	304292	438403
AHR|196	chr7	17338276	17385775
AHSA1|10598	chr14	77924373	77935807
AHSA2|130872	chr2	61404553	61414058
AHSG|197	chr3	186330850	186339105
AHSP|51327	chr16	31539203	31540123
AICDA|57379	chr12	8754762	8765442
AIDA|64853	chr1	222841357	222886526
AIF1L|83543	chr9	133971912	133998539
AIF1|199	chr6	31582994	31584796
AIFM1|9131	chr23	129263340	129299808
AIFM2|84883	chr10	71857979	71892690
AIFM3|150209	chr22	21319418	21335649
AIG1|51390	chr6	143380500	143661439
AIM1L|55057	chr1	26648350	26670443
AIM1|202	chr6	106959730	107018332
AIM2|9447	chr1	159032275	159046647
AIMP1|9255	chr4	107236767	107270379
AIMP2|7965	chr7	6048882	6063464
AIPL1|23746	chr17	6327060	6338519
AIP|9049	chr11	67250505	67258578
AIRE|326	chr21	45705763	45718110
AJAP1|55966	chr1	4715105	4843850
AK1|203	chr9	130628761	130640022
AK2|204	chr1	33473586	33502492
AK3L1|205	chr1	65613232	65693173
AK3|50808	chr9	4711158	4742043
AK5|26289	chr1	77747742	78025652
AK7|122481	chr14	96858448	96955112
AKAP10|11216	chr17	19808752	19881129
AKAP11|11215	chr13	42846289	42897402
AKAP12|9590	chr6	151561134	151679692
AKAP13|11214	chr15	85923871	86292586
AKAP14|158798	chr23	119029936	119054677
AKAP1|8165	chr17	55162553	55198709
AKAP2|11217	chr9	112810976	112934789
AKAP3|10566	chr12	4724677	4754343
AKAP4|8852	chr23	49955411	49965664
AKAP5|9495	chr14	64932217	64941220
AKAP6|9472	chr14	32798479	33302267
AKAP7|9465	chr6	131456871	131604673
AKAP8L|26993	chr19	15490859	15529833
AKAP8|10270	chr19	15464341	15490603
AKAP9|10142	chr7	91570189	91739986
AKD1|221264	chr6	109814059	110012415
AKIRIN1|79647	chr1	39456916	39471735
AKIRIN2|55122	chr6	88384579	88411985
AKNAD1|254268	chr1	109358532	109506111
AKNA|80709	chr9	117096433	117160752
AKR1A1|10327	chr1	46016498	46035720
AKR1B10|57016	chr7	134212344	134226165
AKR1B15|441282	chr7	134233849	134264300
AKR1B1|231	chr7	134127107	134143888
AKR1C1|1645	chr10	4934796	5020157
AKR1C2|1646	chr10	4964715	5060207
AKR1C3|8644	chr10	5005454	5149876
AKR1C4|1109	chr10	5238798	5260910
AKR1CL1|340811	chr10	5196655	5227150
AKR1D1|6718	chr7	137687070	137803050
AKR1E2|83592	chr10	4868402	5067607
AKR7A2|8574	chr1	19630459	19638640
AKR7A3|22977	chr1	19609057	19615280
AKR7L|246181	chr1	19592476	19600568
AKT1S1|84335	chr19	50372299	50380644
AKT1|207	chr14	105235689	105262080
AKT2|208	chr19	40736225	40791265
AKT3|10000	chr1	243651535	244006553
AKTIP|64400	chr16	53525193	53537170
ALAD|210	chr9	116148593	116163618
ALAS1|211	chr3	52232116	52248343
ALAS2|212	chr23	55035489	55057497
ALB|213	chr4	74269972	74287127
ALCAM|214	chr3	105085713	105295743
ALDH16A1|126133	chr19	49956473	49974304
ALDH18A1|5832	chr10	97365687	97416567
ALDH1A1|216	chr9	75515588	75695358
ALDH1A2|8854	chr15	58245628	58571462
ALDH1A3|220	chr15	101420009	101456828
ALDH1B1|219	chr9	38392702	38398655
ALDH1L1|10840	chr3	125822408	125899485
ALDH1L2|160428	chr12	105413564	105478341
ALDH2|217	chr12	112204346	112247782
ALDH3A1|218	chr17	19641300	19651746
ALDH3A2|224	chr17	19552064	19580908
ALDH3B1|221	chr11	67776048	67796741
ALDH3B2|222	chr11	67429634	67448685
ALDH4A1|8659	chr1	19197926	19229293
ALDH5A1|7915	chr6	24495197	24537434
ALDH6A1|4329	chr14	74526874	74551196
ALDH7A1|501	chr5	125878918	125931082
ALDH8A1|64577	chr6	135238529	135271244
ALDH9A1|223	chr1	165631449	165667900
ALDOA|226	chr16	30064472	30081734
ALDOB|229	chr9	104182842	104198062
ALDOC|230	chr17	26900134	26903951
ALG10B|144245	chr12	38710557	38723527
ALG10|84920	chr12	34175216	34181234
ALG11|440138	chr13	52586550	52591849
ALG12|79087	chr22	50296856	50312106
ALG13|79868	chr23	110924413	111003603
ALG14|199857	chr1	95448279	95538507
ALG1L2|644974	chr3	129800674	129817232
ALG1L|200810	chr3	125648118	125655882
ALG1|56052	chr16	5083703	5137378
ALG2|85365	chr9	101978708	101984246
ALG3|10195	chr3	183960117	183967313
ALG5|29880	chr13	37523910	37573504
ALG6|29929	chr1	63833261	63904232
ALG8|79053	chr11	77811988	77850699
ALG9|79796	chr11	111652920	111750153
ALKBH1|8846	chr14	78138749	78174356
ALKBH2|121642	chr12	109525993	109531293
ALKBH3|221120	chr11	43902357	43941825
ALKBH4|54784	chr7	102096697	102105288
ALKBH5|54890	chr17	18086867	18113265
ALKBH6|84964	chr19	36500022	36505141
ALKBH7|84266	chr19	6372444	6375040
ALKBH8|91801	chr11	107373454	107436461
ALK|238	chr2	29415641	30144432
ALLC|55821	chr2	3705786	3750258
ALMS1P|200420	chr2	73872046	73912692
ALMS1|7840	chr2	73612886	73837046
ALOX12B|242	chr17	7975954	7991021
ALOX12P2|245	chr17	6756895	6803667
ALOX12|239	chr17	6899384	6914054
ALOX15B|247	chr17	7942358	7952442
ALOX15|246	chr17	4534221	4545589
ALOX5AP|241	chr13	31287615	31338556
ALOX5|240	chr10	45869629	45941561
ALOXE3|59344	chr17	7999219	8022177
ALPI|248	chr2	233320833	233324740
ALPK1|80216	chr4	113218499	113363761
ALPK2|115701	chr18	56148484	56296189
ALPK3|57538	chr15	85359911	85416711
ALPL|249	chr1	21835858	21904904
ALPPL2|251	chr2	233271552	233275422
ALPP|250	chr2	233243348	233247597
ALS2CL|259173	chr3	46710679	46735171
ALS2CR11|151254	chr2	202352157	202483901
ALS2CR12|130540	chr2	202153148	202222101
ALS2CR4|65062	chr2	202484907	202508224
ALS2CR8|79800	chr2	203776978	203851060
ALS2|57679	chr2	202564987	202645895
ALX1|8092	chr12	85674036	85695559
ALX3|257	chr1	110602998	110613322
ALX4|60529	chr11	44286159	44331716
AMAC1L2|83650	chr8	11188495	11189695
AMAC1L3|643664	chr17	7384721	7386383
AMAC1|146861	chr17	33519539	33521412
AMACR|23600	chr5	33987906	34008206
AMBN|258	chr4	71458001	71473002
AMBP|259	chr9	116822410	116840752
AMBRA1|55626	chr11	46417964	46615571
AMD1|262	chr6	111135824	111216913
AMDHD1|144193	chr12	96337071	96362369
AMDHD2|51005	chr16	2570363	2580954
AMELX|265	chr23	11311533	11318880
AMELY|266	chr24	6733960	6742068
AMFR|267	chr16	56395365	56459444
AMHR2|269	chr12	53817641	53825312
AMH|268	chr19	2249113	2252072
AMICA1|120425	chr11	118064442	118095809
AMIGO1|57463	chr1	110049447	110052336
AMIGO2|347902	chr12	47469491	47473734
AMIGO3|386724	chr3	49754268	49757238
AMMECR1L|83607	chr2	128619209	128643514
AMMECR1|9949	chr23	109437415	109683458
AMN1|196394	chr12	31824073	31882108
AMN|81693	chr14	103388993	103397178
AMOTL1|154810	chr11	94501508	94609917
AMOTL2|51421	chr3	134070694	134094259
AMOT|154796	chr23	112018106	112084043
AMPD1|270	chr1	115215722	115238176
AMPD2|271	chr1	110162126	110174677
AMPD3|272	chr11	10471868	10529126
AMPH|273	chr7	38423307	38671020
AMTN|401138	chr4	71384298	71398459
AMT|275	chr3	49454212	49460012
AMY1A|276	chr1	104198141	104207172
AMY2A|279	chr1	104159999	104168393
AMY2B|280	chr1	104078748	104153092
AMZ1|155185	chr7	2719163	2755069
AMZ2P1|201283	chr17	62962668	62971703
AMZ2|51321	chr17	66244145	66253305
ANAPC10|10393	chr4	145916314	146019368
ANAPC11|51529	chr17	79849599	79858363
ANAPC13|25847	chr3	134196547	134204865
ANAPC16|119504	chr10	73975806	73995616
ANAPC1|64682	chr2	112526641	112641741
ANAPC2|29882	chr9	140069236	140083057
ANAPC4|29945	chr4	25378848	25420119
ANAPC5|51433	chr12	121746050	121792012
ANAPC7|51434	chr12	110810705	110841535
ANGEL1|23357	chr14	77253588	77279283
ANGEL2|90806	chr1	213165525	213189168
ANGPT1|284	chr8	108261711	108510254
ANGPT2|285	chr8	6357177	6420784
ANGPT4|51378	chr20	853299	896960
ANGPTL1|9068	chr1	178818671	178840215
ANGPTL2|23452	chr9	129849628	129885044
ANGPTL3|27329	chr1	63063187	63071180
ANGPTL4|51129	chr19	8429011	8439257
ANGPTL5|253935	chr11	101761406	101787253
ANGPTL6|83854	chr19	10203013	10213425
ANGPTL7|10218	chr1	11249398	11256037
ANG|283	chr14	21152336	21162343
ANK1|286	chr8	41510745	41754280
ANK2|287	chr4	113739239	114304894
ANK3|288	chr10	61788160	62493155
ANKAR|150709	chr2	190539219	190611370
ANKDD1A|348094	chr15	65204101	65251039
ANKFN1|162282	chr17	54230836	54560007
ANKFY1|51479	chr17	4066667	4167274
ANKHD1-EIF4EBP3|404734	chr5	139781429	139929163
ANKHD1|54882	chr5	139781429	139919439
ANKH|56172	chr5	14704910	14871887
