gene	met.row	expr.row	count
MAPK11	178	10596	2
COL4A3BP	179	4057	2
POLK	179	13740	2
BLVRA	180	1536	1
ABL1	181	129	2
WDSUB1	182	19567	2
GJD4	183	7053	2
WRB	185	19630	1
NUDT9	186	12211	2
CMTM5	187	3950	2
PALM	188	12902	2
ANK1	189	667	2
VPS16	190	19404	5
PTPRA	190	14379	2
ARFRP1	191	918	4
ZGPAT	191	19918	4
PNPO	192	13706	2
LEPROTL1	193	9514	2
C18orf19	194	2064	2
RNMT	194	15132	2
UPF3B	195	19207	2
LACE1	196	9377	2
MTM1	197	11312	2
HS3ST3B1	200	8086	2
SFI1	201	15861	2
ALOXE3	202	590	2
ZNF45	203	20174	2
LRDD	204	10246	2
PODXL	205	13717	2
TSPYL5	206	18823	2
ST5	207	17314	3
C11orf17	207	1739	3
HOXC4	208	8029	6
HOXC5	208	8030	6
TCN1	209	17818	2
CHST7	211	3764	2
GFOD1	212	6973	4
CHRM4	213	3734	2
FAM53C	214	6099	2
MRPL52	215	11183	2
MCM5	216	10721	2
USP32	217	19268	2
FBLN2	218	6233	2
C11orf70	219	1771	2
HTR2C	220	8178	2
ECH1	221	5349	2
POLL	222	13741	3
KIAA0174	223	8920	2
LAMC2	224	9398	2
OLFM2	225	12319	1
BRD1	226	1592	2
DENND2C	227	4848	2
APAF1	228	814	5
IKBIP	228	8351	5
ARAP1	229	900	2
KRT6A	231	9256	3
SIL1	232	16034	2
ASTN2	233	1138	3
TRIM32	233	18652	1
CCDC90A	236	3201	2
MYO9B	237	11467	2
GAP43	238	6856	2
RASSF7	239	14689	3
C11orf35	239	1748	2
DIO2	240	4948	2
FARP1	241	6210	4
ACBD6	242	163	2
UBR4	243	19102	2
GLOD4	244	7085	2
RNMTL1	244	15131	2
CDC42SE1	245	3418	4
MLLT11	245	10988	4
SERPINB5	246	15808	7
FGD2	247	6373	2
ENDOG	248	5585	2
TJAP1	249	18049	1
TBCK	250	17747	2
AIMP1	250	478	2
IGF2R	251	8318	2
CCDC60	252	3162	2
SCML1	253	15600	2
ACAA2	254	142	2
SCARNA17	254	15558	2
TUBB2A	255	18941	2
VPS16	256	19404	5
FAM113A	256	5879	3
MAP4K1	257	10582	3
EIF3K	257	5486	4
TLX2	258	18082	2
ZBED4	259	19755	2
RARA	260	14648	2
NINJ2	261	11872	2
TCEAL2	262	17783	2
C14orf68	263	1915	2
TUBD1	264	18951	3
RPS6KB1	264	15311	3
TTC21A	265	18849	2
GORASP1	265	7227	2
TWIST1	267	18975	7
WISP2	268	19601	2
GAPDH	269	6858	2
RBM17	270	14717	2
IRX4	271	8598	2
ZNF117	272	19961	2
CR2	273	4209	2
DMRT2	274	5027	2
C3orf59	275	2491	2
MYLPF	276	11441	2
KLHL25	277	9149	2
PMM1	278	13663	2
PWWP2B	279	14436	1
CREBL2	281	4229	2
MATN3	282	10660	2
PUSL1	283	14422	2
ACAP3	283	157	4
VAX1	285	19341	1
B3GALNT2	286	1325	2
MTDH	287	11292	2
ADH5	288	352	2
HECTD2	289	7733	1
LOC100188947	289	9747	1
C1orf213	290	2219	2
ZNF436	290	20159	3
EMILIN3	292	5562	2
NHP2	293	11863	2
FGF9	294	6399	2
ZNF296	295	20076	2
SLK	296	16470	2
RAD9B	297	14591	2
VPS29	297	19411	2
AMMECR1	298	627	4
CHD5	301	3682	2
UBE3C	302	19079	2
ANXA13	303	769	2
TRA2A	304	18577	5
RFXAP	305	14886	2
CNIH3	306	3968	1
SNRPA1	307	16937	1
LGALS1	308	9526	2
FAM131B	309	5918	2
LRRC33	310	10299	2
IL23A	311	8417	1
RAB7A	312	14546	2
ABCB11	313	75	2
NCRNA00173	315	11669	2
UNC5D	316	19193	1
IL17B	317	8378	2
CMKLR1	318	3943	2
RAB35	319	14517	2
PPP3CA	320	13951	2
HS6ST3	321	8092	2
BRDT	323	1600	2
GAMT	324	6852	2
HTR2A	325	8176	2
STARD3NL	326	17355	2
C17orf61	327	2026	2
TSTA3	328	18834	2
STARD3NL	329	17355	2
ALPPL2	330	596	2
SND1	331	16586	6
MTERFD1	332	11293	2
PTDSS1	332	14316	2
CHRNA4	333	3740	2
ACVR1B	334	257	2
ATP6V0D2	335	1248	2
PKMYT1	336	13500	2
RAB3A	337	14523	2
RLF	338	15006	2
CRB1	339	4215	1
GIMAP4	340	7016	1
NUCB2	341	12182	2
DLAT	343	4986	2
CASQ1	344	3006	2
C1orf59	345	2246	2
CSRP2	346	4343	1
SYAP1	347	17530	2
BANK1	348	1385	2
NOL3	349	11980	2
VWC2	350	19462	2
GABRR1	351	6793	1
PRRT2	352	14182	4
MC2R	353	10693	2
NR1H2	354	12077	2
CHFR	355	3691	20
MRPS33	356	11209	1
ERGIC3	357	5696	2
GARNL3	358	6862	2
TSPO	359	18814	1
GDF11	360	6940	2
HGFAC	361	7782	2
POTED	362	13807	1
RPL34	363	15231	2
LOC285456	363	9920	2
MMP10	364	11011	2
SCUBE3	365	15638	2
CD248	366	3325	2
FRMD1	367	6661	1
ERGIC3	368	5696	2
LASS4	369	9424	2
ZNF384	370	20124	2
ZIM2	371	19928	17
ACSS3	372	227	2
DUSP4	373	5281	4
USP4	374	19286	2
RIBC1	375	14968	3
SMC1A	375	16504	3
IFFO1	376	8250	2
R3HDM2	378	14480	1
CHRNB3	380	3747	2
TMUB1	381	18398	1
C5orf22	382	2550	2
RNASEN	382	15036	2
SNX27	383	16974	2
F2	384	5819	2
ARSG	385	1061	4
ABCE1	386	101	1
ANAPC10	386	645	1
ZNF581	387	20269	2
LTV1	388	10397	2
C18orf54	389	2075	2
MRPL44	390	11174	2
KRT35	392	9247	2
TGFBI	393	17938	2
FOXP4	394	6638	2
ISG20L2	395	8606	4
C4orf39	396	2529	1
TRIM61	396	18684	1
PTPRJ	397	14388	2
DNAH6	398	5049	2
C2orf53	399	2415	2
APOC1	400	858	2
PPOX	401	13897	2
AGA	402	418	1
DCC	403	4695	11
C20orf177	405	2295	4
PPP1R3D	405	13926	4
EMR3	406	5574	4
LRRIQ3	407	10346	2
TNNI3K	407	18461	2
FPGT	407	6646	2
TNMD	408	18456	1
TSC22D3	409	18763	2
ERP29	410	5714	3
TMEM116	410	18152	3
NMT1	411	11960	4
DCAKD	411	4692	4
HAND1	412	7623	2
LCE2C	413	9450	2
RFPL3	414	14869	2
HHATL	415	7786	2
COMMD6	416	4086	2
MAPK6	417	10605	2
ZNF45	418	20174	2
CCDC23	419	3129	4
ERMAP	419	5706	4
STC1	420	17374	1
TMEM184A	422	18228	2
YIF1B	423	19710	4
C19orf33	423	2094	2
KBTBD5	424	8748	2
BCL2L10	425	1444	2
SYNPO2	428	17562	2
F2RL2	429	5816	2
IQGAP2	429	8566	4
ZNF619	430	20299	2
ALX4	431	606	22
S100A6	432	15445	2
SHC3	433	15981	2
VPS13B	434	19401	2
PGPEP1	435	13317	2
C17orf91	436	2054	2
WDR81	436	19554	2
SNTB2	437	16951	2
MT1A	438	11269	2
PEX12	439	13251	2
CUTA	440	4454	2
MYO18A	441	11447	4
KIF27	442	9065	1
TBC1D21	443	17716	1
ZNF322B	444	20089	1
FRK	445	6660	2
LIN7B	446	9600	3
ELOVL3	447	5541	2
TTPAL	448	18899	2
MGP	449	10917	2
MRP63	450	11139	2
SKA3	450	16068	2
VWA5B1	451	19459	2
RENBP	452	14834	4
NAA10	452	11498	2
FAM192A	453	6021	2
RSPRY1	453	15375	2
STATH	454	17370	1
NT5DC1	455	12153	3
CYP2E1	456	4575	2
KIF3B	457	9070	2
STOML1	458	17412	2
KLRG1	459	9195	2
ISYNA1	460	8619	4
TSTD1	461	18835	2
TMC8	462	18112	4
TMC6	462	18110	4
C1QTNF9	463	2150	1
SPAG5	464	17062	2
EMP2	465	5570	2
TES	466	17885	2
CALHM1	467	2903	2
INTS9	468	8533	3
HMBOX1	468	7928	3
ATF7IP2	469	1159	1
NFATC4	470	11817	2
NAGS	471	11529	4
PYY	471	14459	4
ADPRHL1	472	372	2
C6orf150	473	2611	2
KRT2	474	9241	2
TNFAIP1	475	18405	2
IFT20	475	8300	2
CTNNA2	476	4403	3
LRRTM1	476	10355	2
SLC38A10	478	16318	2
DEFB126	479	4828	2
TIMM44	480	18033	3
CTXN1	480	4440	2
C14orf101	481	1856	2
ID4	482	8232	2
PPME1	483	13896	6
C2CD3	483	2388	6
WDR37	484	19515	7
TAC3	485	17605	2
ADAMTS1	486	304	2
IFNA14	487	8275	2
DLL1	488	5006	2
C9orf114	489	2756	2
ANP32E	491	761	4
C2orf29	492	2401	2
FXYD3	493	6735	2
SCO1	494	15622	3
C17orf48	494	2014	3
SERINC4	495	15785	2
C15orf63	495	1958	2
CTNNBL1	496	4408	2
DDX41	497	4775	2
NME3	498	11949	2
CBX3	499	3046	2
HNRNPA2B1	499	7972	3
SOCS1	500	16991	8
IL13RA2	502	8372	1
MFSD8	503	10875	9
C4orf29	503	2520	9
FLT4	504	6547	2
EPS8L3	505	5668	2
PPP1R15A	506	13912	2
STAT1	507	17363	2
SP1	508	17042	2
RALGAPB	509	14611	2
EIF2S1	511	5471	2
ATP6V1D	511	1256	2
PPEF1	512	13852	2
RNPEPL1	513	15134	2
SLC18A2	514	16141	2
TLL1	515	18066	2
C21orf57	516	2345	2
MCM3AP	516	10718	2
CXCL12	517	4473	2
EP300	518	5618	2
ALOX12B	519	583	2
ZDHHC14	520	19841	2
KIAA0907	521	8962	2
DLX5	522	5014	18
TNFRSF19	523	18425	2
GCOM1	524	6930	2
PAX9	525	12985	2
C6orf211	526	2635	2
RMND1	526	15013	2
KHDRBS1	527	8904	2
CDH15	528	3439	2
CYTL1	529	4614	2
SLC18A2	530	16141	2
IGFBP4	531	8324	1
MOSC2	532	11079	2
KLHL9	533	9168	2
SERPINE2	534	15816	2
CPZ	535	4205	2
EPS8L3	536	5668	2
PDE9A	537	13162	2
LIMK2	539	9589	2
EVI5	540	5762	2
CORO7	541	4125	4
TPM1	542	18546	2
C5orf24	543	2552	2
GPR61	544	7356	2
MYCBP	545	11397	2
CBLB	546	3027	2
KHSRP	547	8909	2
UPP1	548	19214	2
KDM5B	549	8890	2
STK24	550	17392	2
LGI1	551	9537	1
PBX1	552	12991	2
SLC7A11	553	16411	2
GATA1	555	6875	2
ATG9A	556	1175	3
ABCB6	556	79	2
SAG	557	15473	2
FOXN2	558	6628	2
PARVB	559	12965	2
CSRP1	560	4341	2
RNU5E	561	15139	6
ACOT12	561	186	2
DSCR10	563	5221	2
TAOK3	564	17655	2
PDE1C	565	13142	2
LOC284837	566	9908	2
ALG1	567	564	2
RAB39B	568	14521	1
TUBD1	569	18951	3
RPS6KB1	569	15311	3
NPL	570	12045	2
NPTX2	571	12062	1
KRTAP9-9	572	9359	1
KRTAP9-4	572	9357	1
ProSAPiP1	574	14461	1
NR1H3	575	12078	3
ZNF804A	576	20429	2
CHEK1	577	3688	2
TMPRSS6	578	18386	2
ARHGEF7	579	977	2
AAAS	580	39	2
STXBP1	581	17452	2
XKR8	582	19668	2
PXK	583	14439	2
TGFBR3	584	17941	2
PTGDS	585	14323	2
STEAP4	586	17379	2
EIF3L	587	5487	2
TP73	588	18532	12
DSC2	589	5216	1
FARP2	590	6211	2
VCAN	591	19345	2
C10orf118	592	1687	1
STT3A	593	17433	2
ABHD10	594	110	2
WDR5B	595	19533	2
COL6A3	597	4067	2
HLA-DMB	598	7903	2
ALDOB	600	554	2
SHH	601	15988	2
REG1B	603	14820	2
FUT6	604	6724	2
DIMT1L	605	4946	2
RGS20	607	14918	1
KRAS	608	9214	6
LIMS1	609	9590	1
NFKBIL1	610	11833	2
ATP6V1G2	610	1261	2
CDKAL1	611	3492	1
GPR152	612	7311	2
C14orf86	613	1921	2
FAM181A	613	5999	2
COBRA1	614	4020	2
RIMS3	615	14986	2
STS	616	17432	2
MYO1C	617	11452	2
PRKCSH	618	14078	2
CCDC151	618	3113	2
FAM9A	619	6193	2
WDR11	620	19497	2
H1FNT	621	7594	2
C17orf62	622	2027	2
SMPDL3B	624	16536	2
TESK2	625	17884	2
GTPBP5	626	7547	1
HADH	627	7618	2
INS-IGF2	628	8508	19
INS	628	8520	4
HHIPL2	629	7790	2
PTPRS	630	14396	2
PRTN3	631	14213	2
RBM9	632	14746	2
SERPINB8	633	15811	2
STYK1	634	17459	2
LACTB	635	9380	2
NCL	636	11620	2
SHISA4	637	15991	2
VBP1	638	19343	2
DENND2D	639	4849	2
PPP6C	640	13962	2
CENPF	641	3580	2
ZUFSP	642	20518	2
ACOT4	643	190	2
ODF3L1	644	12296	2
TSPAN5	645	18808	2
DOCK1	646	5132	2
KANK4	647	8730	2
WNT7A	648	19623	2
SH2D2A	649	15940	4
NTRK1	649	12169	6
GNS	650	7190	2
LNX1	653	9656	1
GFI1B	654	6969	2
KCNQ4	655	8840	2
CYB561D1	656	4520	2
PXMP2	657	14440	3
POLE	657	13735	3
VPS33A	658	19412	2
PARP9	659	12961	3
DTX3L	659	5249	3
ZNF76	661	20400	2
RBM18	662	14718	4
MRRF	662	11217	4
OTOP3	663	12788	2
ACAP2	664	156	2
RTBDN	665	15379	2
IRF7	668	8586	2
TMED7	669	18132	2
TMED7-TICAM2	669	18131	2
ARSD	670	1058	2
GSTO1	671	7503	2
ZNF274	672	20057	2
SLC17A5	673	16135	2
EEF1DP3	674	5384	2
EPHB2	675	5646	2
YBX1	676	19703	1
HSP90AB1	677	8129	1
PTN	678	14350	2
MGAT5B	679	10884	2
LYAR	680	10421	3
ESR1	681	5728	7
CCT7	682	3296	2
C2orf7	682	2440	4
PPARD	683	13842	1
CHD8	684	3685	2
RD3	685	14796	1
CCDC63	686	3165	2
ASAP1	687	1081	2
FAM173A	688	5983	2
KLHL28	689	9151	4
FAM179B	689	5996	4
TMEM43	690	18300	3
CHCHD4	690	3672	3
FOXI1	691	6616	2
GALR1	692	6847	7
TTLL4	694	18891	2
ZNF670	695	20333	2
SYDE1	696	17540	2
SLC39A5	697	16338	2
CDK11B	698	3466	1
CDK11A	698	3465	1
SPRY1	699	17194	2
ALG11	700	558	4
ATP7B	700	1265	2
ARHGAP26	701	939	2
MOSPD1	702	11080	2
DOPEY2	703	5154	1
ADAMTS9	705	313	2
CCM2	706	3244	2
MNS1	707	11042	2
TRIM31	708	18651	2
FAM89A	709	6176	2
VTI1B	710	19449	2
NEU4	711	11793	2
PPFIA2	712	13855	2
C12orf40	713	1803	2
CAPN1	714	2949	2
TMEM84	715	18340	2
NDRG4	716	11702	2
RAP1GDS1	717	14635	2
COPA	718	4093	4
NCSTN	718	11689	4
GAST	719	6874	2
RTKN	720	15385	1
MAGED2	721	10504	1
WFDC10B	722	19573	3
WFDC13	722	19576	3
NR5A1	724	12095	2
TARDBP	726	17663	2
CBR1	728	3035	2
SULT2B1	730	17483	2
PLAGL1	731	13542	10
HYMAI	731	8208	8
GAL3ST4	732	6820	3
C7orf43	732	2683	2
KCTD15	733	8857	2
COPB1	734	4094	2
LILRA3	735	9572	1
ATP6V0A1	736	1242	2
NMNAT2	737	11956	2
LECT1	738	9496	2
EIF5	739	5509	2
CNNM4	740	3980	2
PRPF38B	741	14134	2
SLA2	742	16078	2
TBCCD1	743	17742	4
DNAJB11	743	5059	2
CDKN2BAS	744	3504	6
CDKN2A	744	3503	3
ZNF624	746	20304	2
MARCH5	747	10628	2
CPEB3	747	4166	2
DYNLRB2	748	5308	2
NOP58	749	11997	2
RLN3	750	15010	3
NXF1	751	12247	1
B3GALT2	753	1327	2
CDC73	753	3424	4
NGFRAP1	754	11847	2
PLA2G3	755	13523	2
LILRA5	756	9574	1
MT1F	757	11273	2
MEAF6	758	10753	2
C6orf27	759	2646	2
AQP4	760	889	4
C18orf16	760	2062	4
FAM73B	761	6141	2
LASS3	762	9423	2
PALMD	763	12901	1
HDAC4	765	7702	2
ZNF44	766	20171	2
MTCH1	767	11288	2
ARPC1A	768	1038	2
TBC1D1	769	17714	4
GAPDHS	770	6857	3
TMEM147	770	18185	2
TLR8	771	18078	2
ZNF192	772	20000	2
CXADR	773	4470	2
H1FNT	774	7594	2
MYPN	775	11480	2
CHD8	776	3685	2
BAT5	777	1401	2
HDGF	778	7714	2
SLC25A1	779	16197	2
LYRM7	781	10442	1
HRASLS5	782	8066	1
FAM83E	783	6165	2
SPACA4	783	17054	2
NXNL2	784	12254	2
BAAT	785	1359	1
DZIP1	786	5321	2
PVRL4	787	14428	2
UPK2	788	19210	1
CRYBB1	789	4279	2
SLC43A2	790	16350	2
RPL9	791	15252	4
LIAS	791	9564	4
SEPT2	792	15763	4
HDLBP	792	7718	4
HRASLS2	793	8065	2
ZNF784	794	20415	2
SEPHS1	795	15753	2
HOXD4	796	8040	5
FAM133A	797	5921	2
NAP1L3	797	11542	2
DEFB129	798	4831	2
ST8SIA1	799	17329	2
CDKN2D	800	3507	2
TULP3	801	18966	2
NHLRC1	802	11858	2
TCTE1	803	17829	2
RASSF1	804	14683	9
ARF4	805	908	2
PRPF19	806	14131	2
FLJ45983	807	6531	3
SLC1A5	808	16150	1
BCL2L1	809	1450	2
LARP1B	810	9411	2
RAC1	811	14567	2
FDX1L	812	6343	2
C8orf41	813	2725	2
UBE3A	814	19077	8
GJD2	815	7051	2
DDX24	816	4766	3
IFI27L1	816	8253	3
TRIM8	817	18700	2
COMMD9	818	4089	3
PDCD1	819	13124	2
FUT4	820	6722	2
OXSR1	821	12818	2
PNMA3	823	13689	2
EIF5A	824	5507	2
RHOH	825	14956	2
CDH13	826	3438	9
DLEC1	827	4989	2
REG4	828	14824	1
SNX22	829	16971	2
RPF1	830	15179	2
RPAP3	831	15176	2
DGCR2	832	4881	2
TRAPPC6A	833	18608	3
BLOC1S3	833	1535	4
UQCRFS1	834	19223	2
FBXO16	835	6265	2
C1orf25	837	2229	3
C1orf26	837	2230	3
TTC14	838	18842	2
CHRNB2	839	3746	2
VANGL1	840	19326	2
CLIP3	841	3895	2
TIMELESS	842	18026	2
UMPS	843	19179	2
ZNF688	844	20349	9
CRYGB	845	4284	2
CHD4	846	3681	1
VPS37A	847	19416	3
CNOT7	847	3988	3
PTPRZ1	848	14400	2
EIF4H	849	5504	2
WNT5A	850	19620	2
NRIP2	851	12114	2
LRIG1	852	10254	2
C20orf43	853	2315	1
C14orf126	854	1865	2
TLN1	856	18068	3
CREB3	856	4226	3
ITGAM	857	8639	2
JAKMIP2	858	8693	2
TSC22D4	859	18764	2
JAZF1	860	8698	2
COL9A3	861	4075	2
MITF	862	10959	2
IL1A	863	8393	2
MAN1A1	864	10534	1
CHST4	865	3761	2
HYAL2	866	8201	2
STAG1	867	17340	2
TJP2	868	18051	1
CPA4	869	4157	3
DLG2	870	4995	3
DHRS11	872	4908	2
PRELID1	873	14031	4
RAB24	873	14503	4
DAB1	874	4624	2
ARSK	875	1065	3
TTC37	875	18867	3
CRIM1	876	4240	2
VNN1	877	19392	2
FMNL1	878	6554	2
TSNAXIP1	879	18788	2
RANBP10	879	14620	2
SKP1	880	16076	2
PSMD14	881	14274	2
CCND1	882	3252	16
POMP	883	13787	2
CYB5R2	884	4528	2
ZNF200	885	20005	2
GPRASP2	886	7379	2
KCNMB3	887	8829	1
FKBP5	888	6453	2
PAWR	889	12976	2
PARD6G	890	12942	2
WDR67	891	19542	2
NEIL2	892	11768	2
ATOH7	893	1186	1
LHFPL1	894	9549	2
TAL1	895	17647	2
PKN1	896	13501	2
DUOXA2	897	5257	3
DUOX2	897	5255	3
SLC1A4	898	16149	2
NCRNA00119	899	11656	2
NPHP3	899	12038	2
LOC55908	900	10061	2
DOCK6	900	5137	2
ZP2	901	20486	2
SPRY1	902	17194	2
IGFBP7	903	8327	2
BZW2	904	1677	3
ANKMY2	904	682	3
WDR31	905	19510	2
NMU	906	11964	2
INTS5	907	8529	2
TAOK3	908	17655	2
EIF2B1	909	5462	3
GTF2H3	909	7526	3
CCND2	910	3253	12
SLC24A3	911	16183	2
WDFY2	912	19493	2
DEGS2	913	4841	2
CCDC37	914	3139	2
SMPD3	915	16533	7
C16orf73	916	1981	2
NGFR	917	11848	2
SND1	918	16586	6
EPM2AIP1	919	5654	6
MLH1	919	10980	6
RPL7L1	920	15249	2
PCP4	922	13104	1
CCL4L2	923	3239	1
LACE1	924	9377	2
SEPT11	925	15759	2
SF3B1	926	15855	1
C10orf25	927	1700	2
ZNF22	927	20027	2
YBX2	928	19704	2
CTR9	929	4414	2
PTCD1	930	14307	2
CPSF4	930	4194	2
SLC25A19	931	16196	2
MLLT1	932	10989	1
SYT10	933	17571	2
CHL1	934	3704	1
SBDS	935	15522	1
TYW1	935	19012	2
MGMT	936	10916	25
PLK3	937	13621	2
RRS1	938	15355	2
HGS	939	7785	2
ARL16	939	997	2
FANCF	940	6201	6
SLC7A10	941	16410	2
DHX37	942	4932	2
PCDHGA4	943	13058	11
PCDHGA6	943	13060	11
PCDHGA1	943	13055	11
PCDHGA5	943	13059	11
PCDHGB1	943	13064	11
PCDHGA3	943	13057	11
PCDHGA2	943	13056	11
PCDHGA7	943	13061	11
PCDHGB2	943	13065	11
PCDHGB4	943	13067	11
PCDHGB3	943	13066	11
PRPS1L1	944	14145	1
UBTD2	945	19106	2
C1orf127	946	2174	2
GAD1	947	6796	2
SHC1	948	15979	3
CKS1B	948	3810	3
TMCO6	949	18121	2
PTPN22	950	14370	2
PDHB	951	13173	2
REG3G	952	14823	1
PPIB	953	13867	2
TMOD2	954	18369	1
LYSMD2	954	10444	3
XIAP	955	19659	2
C6orf182	956	2625	4
SESN1	956	15828	2
BAD	957	1364	3
GPR137	957	7300	4
SCNN1B	958	15619	2
ZNF3	959	20136	2
HSPA1A	960	8138	3
HSPA1L	960	8140	3
FBXO28	961	6274	6
PROP1	962	14124	2
ALDH1A2	963	537	2
SULT1A2	964	17475	2
EGFL6	965	5423	2
DLC1	966	4987	2
RNASE8	968	15028	2
ZNF678	969	20341	2
PIGZ	970	13422	2
PRRG1	971	14177	1
GATA6	972	6880	2
FGFRL1	973	6409	2
OTUD7B	974	12801	2
AKAP4	975	498	1
PCDHGA4	976	13058	11
PCDHGC3	976	13072	5
PCDHGA12	976	13054	7
PCDHGA11	976	13053	7
PCDHGA9	976	13063	9
PCDHGA1	976	13055	11
PCDHGB1	976	13064	11
PCDHGB6	976	13069	9
PCDHGB3	976	13066	11
PCDHGB7	976	13070	9
PCDHGC5	976	13074	2
PCDHGA6	976	13060	11
PCDHGA8	976	13062	9
PCDHGA10	976	13052	9
PCDHGA5	976	13059	11
PCDHGB4	976	13067	11
PCDHGC4	976	13073	4
PCDHGA3	976	13057	11
PCDHGA2	976	13056	11
PCDHGA7	976	13061	11
PCDHGB2	976	13065	11
PCDHGB5	976	13068	9
GNAS	977	7149	29
UBE2B	978	19039	2
SEC61G	979	15702	2
SLC4A5	980	16374	2
H2AFV	981	7599	2
LAS1L	982	9419	2
RNF135	984	15059	1
UBE2E3	986	19049	2
